tabla,columna,tipo,nullable
fertilizantes,zn,numeric,SI
fertilizantes,cu,numeric,SI
fertilizantes,bo,numeric,SI
fertilizantes,mo,numeric,SI
fertilizantes,cl,numeric,SI
fertilizantes,ph,text,SI
fertilizantes,otro,text,SI
fincas,id,bigint,NO
fincas,nombre_finca,text,NO
fincas,usuario_id,uuid,SI
fincas,created_at,timestamp with time zone,SI
fincas,direccion,text,SI
fincas,superficie,numeric,SI
fincas,provincia,text,SI
fincas,departamento,text,SI
fitosanitarios,id,bigint,NO
fitosanitarios,nombre_comercial,text,NO
fitosanitarios,principio_activo,text,SI
fitosanitarios,formulacion,text,SI
fitosanitarios,plaga_o_enfermedad,text,SI
fitosanitarios,accion,text,SI
fitosanitarios,tc_tiempo_carencia,text,SI
fitosanitarios,ct,text,SI
fitosanitarios,dosis_marbete,text,SI
fitosanitarios,unidad_marbete,text,SI
fitosanitarios,lmr_senasa,text,SI
fitosanitarios,lmr_eu,text,SI
fitosanitarios,uso,text,SI
fitosanitarios,dosis_frecuente_100l,text,SI
fitosanitarios,registro_para,text,SI
metodos_de_aplicacion,id,integer,NO
metodos_de_aplicacion,nombre,text,NO
metodos_de_aplicacion,descripcion,text,SI
operario_finca,operario_id,uuid,NO
operario_finca,finca_id,bigint,NO
operario_finca,estado,text,NO
organizaciones,id,uuid,NO
organizaciones,nombre,text,NO
organizaciones,logo_url,text,SI
organizaciones,color_base,text,SI
riegos,id,bigint,NO
riegos,finca_id,bigint,SI
riegos,cuartel_id,bigint,SI
riegos,variedad,text,SI
riegos,especie,text,SI
riegos,labores,text,SI
riegos,operador_id,uuid,SI
riegos,fecha,date,SI
riegos,maquinaria,text,SI
riegos,horas_riego,numeric,SI
riegos,volumen_agua,numeric,SI
riegos,observaciones,text,SI
riegos,created_at,timestamp with time zone,SI
riegos,labor,text,SI
riegos,objetivo,text,SI
tareas,id,bigint,NO
tareas,tipo_tarea_old,text,SI
tareas,fecha,date,SI
tareas,cuartel_id,bigint,SI
tareas,duracion,integer,SI
tareas,cant_agua,integer,SI
tareas,obs,text,SI
tareas,created_at,timestamp with time zone,SI
tareas,tipo_tarea_id,integer,SI
tipos_tarea,id,integer,NO
tipos_tarea,nombre,text,NO
tipos_tarea,requiere_duracion,boolean,SI
tipos_tarea,requiere_agua,boolean,SI
tipos_tarea,requiere_obs,boolean,SI
usuarios,id,uuid,NO
usuarios,nombre,text,SI
usuarios,cuit,text,SI
usuarios,telefono,text,SI
usuarios,rol,text,SI
usuarios,created_at,timestamp with time zone,SI
usuarios,organizacion_id,uuid,SI
usuarios,email,text,SI
variedades,id,uuid,NO
variedades,nombre,text,NO
variedades,color,text,SI
variedades,tipo_destino,text,SI
variedades,especie_id,uuid,SI
visitas,id,integer,NO
visitas,fecha,timestamp without time zone,NO
visitas,texto,text,NO
visitas,id_productor,uuid,NO
visitas,id_finca,bigint,SI
visitas,id_cuartel,bigint,SI
visitas,id_ingeniero,uuid,NO
visitas,adjuntos,jsonb,SI
visitas,enviado_mail,boolean,SI
fertilizaciones,id,bigint,NO
fertilizaciones,usuario_id,uuid,NO
fertilizaciones,finca_id,bigint,NO
fertilizaciones,cuartel_id,bigint,NO
fertilizaciones,fertilizante_id,uuid,NO
fertilizaciones,fecha,date,NO
fertilizaciones,dosis,numeric,NO
fertilizaciones,unidad_dosis,character varying,NO
fertilizaciones,metodo_aplicacion,character varying,NO
fertilizaciones,sistema_aplicacion,character varying,SI
fertilizaciones,superficie_aplicada,numeric,SI
fertilizaciones,operador_id,uuid,SI
fertilizaciones,equipo_trabajadores,text,SI
fertilizaciones,costo_total,numeric,SI
fertilizaciones,clima,character varying,SI
fertilizaciones,humedad_suelo,character varying,SI
fertilizaciones,observaciones,text,SI
fertilizaciones,created_at,timestamp with time zone,SI
fertilizaciones,updated_at,timestamp with time zone,SI
fertilizaciones,dosis_referencia,numeric,SI
fertilizaciones,unidad_dosis_referencia,character varying,SI
fertilizaciones,cantidad_aplicada,numeric,SI
fertilizaciones,unidad_cantidad,character varying,SI
fertilizaciones,superficie_cuartel,numeric,SI
fertilizaciones,dosis_real_calculada,numeric,SI
